lexeme	systematicDefectiveness
marceo	intransitive
marito	none
materio/-or	none
maturesco	intransitive
maturo	none
medeor	deponent
medico/-or	none
meditor	deponent
meio	intransitive
memini	perfectum tantum
memoro/-or	none
mendico/-or	none
mentior/-io	none
meo	none
mercor/-o	none
mereo/-eor	none
mergo	none
merso	none
metior/-io	none
meto	none
metor/-o	none
metuo	none
mico	intransitive
micturio	none
migro	none
milito	intransitive
mingo	intransitive
ministro	none
minitor/-o	none
minor/-o	none
minuo	none
miror/-o	none
misceo	none
misereo/-eor	none
miseresco	none
miseror/-o	none
missito	none
mitesco	intransitive
mitigo	none
mitto	none
moderor/-o	none
modulor/-o	none
moechor	deponent
molior/-io	none
mollesco	intransitive
mollio	none
molo	none
moneo	none
monstro	none
mordeo	none
morior/-io	none
moror/-o	none
moto	none
moueo	none
mugio	none
mulceo	none
mulco	none
mulgeo	none
multiplico	none
multo	none
munero/-or	none
munio	none
murmuro/-or	none
musso/-or	none
mutilo	none
mutio	intransitive
muto	none
mutuor/-o	none
nanciscor	deponent
narro	none
nascor/-o	none
nato	none
nauigo	none
nauo	none
nauseo	intransitive
neco	none
necto	none
negito	intransitive
neglego	none
nego	none
negotior	deponent
neo	none
nepotor	deponent
nequeo	intransitive
nescio	none
nigresco	intransitive
nigro	none
ningo	intransitive
niteo	intransitive
nitesco	intransitive
nitor	deponent
nixor	deponent
no	intransitive
nobilito	none
noceo	none
nodo	none
nolo	nolo
nomino	none
noscito	none
nosco	none
notesco	intransitive
noto	none
nouo	none
nubo	none
nudo	none
nugor	deponent
numero	none
nuncupo	none
nuntio	none
nuto	intransitive
nutrio/-ior	none
obambulo	none
obarmo	none
obdo	none
obduco	none
obduresco	intransitive
obduro	none
obeo	intransitive
obequito	intransitive
oberro	none
obhaereo	intransitive
obiaceo	intransitive
obicio	none
obiecto	none
obirascor	deponent
obiurgo	none
oblatro	none
oblecto	none
oblenio	none
oblido	none
obligo	none
oblimo	none
oblino	none
obliquo	none
oblitesco	intransitive
oblittero	none
obliuiscor	deponent
obloquor	deponent
obluctor	deponent
obmolior	deponent
obmutesco	intransitive
obnitor	deponent
obnubo	none
oboedio	none
oborior	deponent
obrepo	none
obrigesco	intransitive
obruo	none
obsaepio	none
obscuro	none
obsecro	none
obsecundo/-or	none
obsequor	deponent
obsero1	none
obsero2	none
obseruo	none
obsideo	none
obsidior/-o	none
obsido	none
obsigno	none
obsisto	none
obsolefacio	none
obsolesco	none
obstipesco	none
obsto	intransitive
obstrepo	none
obstrigillo	intransitive
obstringo	none
obstruo	none
obstupefacio	none
obstupefio	fio
obsum	sum
obtego	none
obtempero	intransitive
obtendo	none
obtero	none
obtestor	deponent
obtineo	none
obtingo	intransitive
obtorpesco	intransitive
obtorqueo	none
obtrecto	none
obtrunco	none
obtundo	none
obturbo	none
obturo	none
obuenio	intransitive
obuersor/-o	none
obuerto	none
obumbro	none
obuoluo	none
occaeco	none
occallesco	intransitive
occano	intransitive
occi\do"	none
occi'do	intransitive
occipio	none
occludo	none
occo	none
occubo	intransitive
occulo	none
occulto	none
occumbo	none
occupo	none
occurro	intransitive
occurso	none
odi	none
odoro	none
offendo	none
offenso	none
offero	none
officio	none
offirmo	none
offoco	none
offundo	none
oleo	intransitive
olfacio	none
ominor/-o	none
omitto	none
onero	none
opaco	none
operio	none
operor/-o	none
opinor/-o	none
oportet	impersonal
opperior	deponent
oppeto	none
oppignero	none
oppleo	none
oppono	none
opprimo	none
oppugno	none
opto	none
orbo	none
ordino	none
ordior/-io	none
orior	deponent
orno	none
oro	none
oscito/-or	none
osculor	deponent
ostendo	none
ostento	none
ouo	none
pabulor	deponent
pacifico/-or	none
paciscor/-o	none
paco	none
paedico	none
paeniteo/-eor	none
palleo	none
pallesco	none
palor/-o	none
palpito	intransitive
palpo/-or	none
pando	none
pango	none
pappo	none
parento	intransitive
pareo	intransitive
pario	none
paro	none
partio/-ior	none
parturio	none
pasco/-or	none
patefacio	none
patefio	fio
pateo	intransitive
patesco	intransitive
patior/-io	none
patro	none
patrocinor	deponent
pauefacio	none
paueo	none
pauesco	none
pauio	none
pauito	none
pecco	intransitive
pecto	none
peiero	none
pellicio	none
pello	none
pendeo	intransitive
pendo	none
penetro	none
pensito	none
penso	none
peraequo	none
peragito	none
perago	none
peragro	none
perambulo	none
perarmo	none
peraro	none
perbibo	none
percalesco	intransitive
percello	none
percenseo	none
percido	none
percieo	none
percipio	none
percolo1	none
percolo2	none
percontor/-o	none
percoquo	none
percrebresco	intransitive
percuro	none
percurro	intransitive
percurso	none
percutio	none
perdepso	none
perdisco	none
perdo	none
perdoceo	none
perdomo	none
perduco	none
perduro	intransitive
pere\do"	none
pere'do	none
peregrinor	deponent
pereo	intransitive
perequito	none
pererro	none
perfero	none
perficio	none
perflo	none
perfluo	intransitive
perfodio	none
perforo	none
perfrico	none
perfrigesco	intransitive
perfringo	none
perfruor	deponent
perfugio	intransitive
perfundo	none
perfungor	deponent
pergo	none
perhibeo	none
perhorresco	none
periclitor	deponent
perimo	none
perlabor	deponent
perlego	none
perluceo	intransitive
perluo	none
perlustro	none
permadesco	intransitive
permaneo	intransitive
permano	none
permaturesco	intransitive
permeo	none
permetior	deponent
permisceo	none
permitto	none
permoueo	none
permulceo	none
permunio	none
permuto	none
pernego	none
pernocto	none
pernosco	none
pernotesco	intransitive
pernumero	none
perorno	none
peroro	none
perpello	none
perpendo	none
perpetior	deponent
perpetro	none
perpopulor	deponent
perpoto	none
perprimo	none
perpurgo	none
perquiro	none
perrepo	none
perrogo	none
perrumpo	none
persaluto	none
persano	none
perscribo	none
perscrutor/-o	none
persedeo	intransitive
persentio	none
persequor	deponent
perseuero	none
persido	intransitive
persisto	intransitive
persoluo	none
persono	none
perspecto	none
perspergo	none
perspicio	none
perstimulo	none
persto	intransitive
perstrepo	none
perstringo	none
persuadeo	none
persulto	none
pertaedeo	none
pertego	none
pertempto	none
perterreo	none
pertimeo	none
pertimesco	none
pertineo	intransitive
pertingo	none
pertracto	none
pertraho	none
pertundo	none
perturbo	none
peruado	none
peruagor/-o	none
peruasto	none
perueho	none
peruello	none
peruenio	intransitive
peruerto	none
peruideo	none
peruigeo	intransitive
peruigilo	none
peruinco	none
perunguo	none
peruolito	none
peruolo	none
peruoluo	none
peruro	none
peruulgo	none
peto	none
philosophor	deponent
pico	none
piget	impersonal
pignero	none
pingo	none
pinguesco	none
pinso	none
pio	none
pipio	intransitive
piscor	deponent
placeo	intransitive
placo	none
plango	none
plaudo	none
plecto1	none
plecto2	none
plico	none
ploro	none
pluo	intransitive
polio	none
polleo	intransitive
polliceor/-eo	none
pollicitor	deponent
pollingo	none
polluo/-or	none
pondero	none
pono	none
populor/-o	none
porrigo	none
portendo	none
porto	none
posco	none
possideo	none
possido	none
possum	possum
postfero	none
posthabeo	none
postpono	none
postscribo	none
postulo	none
potior	deponent
poto	none
praeacuo	none
praebeo	none
praecaueo	none
praecedo	none
praecello	none
praecerpo	none
praecido	none
praecingo	none
praecino	none
praecipio	none
praecipito	none
praecludo	none
praecogito	none
praecolo	none
praecurro	none
praecutio	none
praedico1	none
praedico2	none
praedisco	none
praedoceo	none
praedomo	none
praedor/-o	none
praeduco	none
praeeo	intransitive
praefero	none
praefestino	none
praeficio	none
praefigo	none
praefinio	none
praefluo	none
praefor	deponent
praefringo	none
praefulgeo	intransitive
praegestio	intransitive
praegrauo	none
praegredior	deponent
praegusto	none
praeiaceo	intransitive
praelabor	deponent
praelego	none
praeluceo	none
praemeditor	deponent
praemetuo	none
praemineo	none
praemitto	none
praemoneo	none
praemordeo	none
praemorior	deponent
praemunio	none
praenato	none
praenauigo	none
praeniteo	intransitive
praenosco	none
praenuntio	none
praeobturo	none
praeoccupo	none
praeopto	none
praeparo	none
praepedio	none
praependeo	intransitive
praepolleo	intransitive
praepondero	none
praepono	none
praeporto	none
praerigesco	intransitive
praeripio	none
praerumpo	none
praesaepio	none
praesagio	none
praescisco	none
praescribo	none
praeseco	none
praesentio	none
praesideo	none
praestituo	none
praesto	none
praestolor/-o	none
praestringo	none
praestruo	none
praesum	sum
praesumo	none
praetego	none
praetendo	none
praetento	none
praetereo	none
praeterfluo	none
praetergredior	deponent
praeterlabor	deponent
praetermitto	none
praetero	none
praeterueho/-or	none
praeteruolo	none
praetexo	none
praetimeo	intransitive
praetracto	none
praetrepido	intransitive
praeualeo	intransitive
praeuaricor/-o	none
praeueho/-or	none
praeuenio	none
praeuerto/-or	none
praeuideo	none
praeumbro	intransitive
praeuro	none
prandeo	none
precor/-o	none
prehendo	none
prehenso	none
premo	none
presso	none
priuo	none
probo	none
procedo	intransitive
procido	intransitive
proclamo	none
proclino	none
procreo	none
procubo	intransitive
procudo	none
proculco	none
procumbo	intransitive
procuro	none
procurro	intransitive
prodeo	intransitive
prodigo	none
prodo	none
produco	none
proelior/-o	none
profano	none
profero	none
proficio	intransitive
proficiscor/-o	none
profiteor	deponent
profligo	none
profluo	intransitive
profor	deponent
profugio	intransitive
profundo	none
progenero	none
progero	none
progigno	none
progredior	deponent
prohibeo	none
proicio	none
prolabor	deponent
prolato	none
prolicio	none
proloquor	deponent
proludo	none
proluo	none
promereo/-eor	none
promineo	intransitive
promitto	none
promo	none
promoueo	none
promulgo	none
pronuntio	none
propago	none
propello	none
propendeo	intransitive
propero	none
propino	none
propinquo	none
propitio	none
propolluo	none
propono	none
propugno	none
propulso	none
proripio	none
prorito	none
prorogo	none
prorumpo	none
proruo	none
proscindo	none
proscribo	none
prosequor	deponent
prosilio	intransitive
prospecto	none
prospero	none
prospicio	none
prosterno	none
prostituo	none
prosto	intransitive
prosubigo	none
prosum	sum
protego	none
protendo	none
protero	none
protraho	none
protrudo	none
proturbo	none
proueho	none
prouenio	intransitive
prouideo	none
prouiuo	intransitive
prouoco	none
prouolo	intransitive
prouoluo	none
prurio	intransitive
psallo	intransitive
pubesco	intransitive
publico	none
pudeo	none
pugno	intransitive
pullulo	intransitive
pulso	none
pumico	none
pungo	none
punio/-ior	none
purgo	none
purpuro	none
puteo	intransitive
puto	none
putrefacio	none
putresco	intransitive
quadro	none
quaerito	none
quaero	none
quaeso	none
quasso	none
quatio	none
queo	none
queritor	deponent
queror	deponent
quiesco	intransitive
quinquiplico	none
radicesco	intransitive
radio/-or	none
rado	none
rapio	none
rapto	none
raresco	intransitive
ratiocinor	deponent
rebello	intransitive
reboo	none
recalesco	intransitive
recanto	none
recedo	intransitive
recenseo	none
recepto	none
reci\do"	none
reci'do	intransitive
recingo	none
recino	none
recipero	none
recipio	none
reciproco	none
recito	none
reclamo	none
reclino	none
recludo	none
recogito	none
recognosco	none
recolligo	none
recolo	none
reconcilio	none
recondo	none
recoquo	none
recordor/-o	none
recorrigo	none
recreo	none
recrepo	none
recrudesco	intransitive
recubo	intransitive
recumbo	intransitive
recuro	none
recurro	intransitive
recurso	intransitive
recuruo	none
recuso	none
recutio	none
redarguo	none
reddo	none
redeo	intransitive
redigo	none
redimio	none
redimo	none
redintegro	none
redoleo	none
redono	none
reduco	none
redundo	none
refello	none
referio	none
refero	none
refert	impersonal
reficio	none
refigo	none
refingo	none
reflagito	none
reflecto	none
refluo	intransitive
reformido	none
reformo	none
refoueo	none
refragor/-o	none
refreno	none
refrigero	none
refrigesco	intransitive
refringo	none
refugio	none
refulgeo	intransitive
refundo	none
refuto	none
regelo	none
regero	none
reglutino	none
regno	none
rego	none
regredior	deponent
regusto	none
reicio	none
relabor	deponent
relanguesco	intransitive
relaxo	none
relego1	none
relego2	none
releuo	none
religo	none
relino	none
relinquo	none
reluceo	intransitive
reluctor/-o	none
remaneo	intransitive
remeo	none
remetior	deponent
remigo	intransitive
remigro	intransitive
reminiscor/-o	none
remisceo	none
remitto	none
remolior	deponent
remollesco	intransitive
remollio	none
remordeo	none
remoror	deponent
remoueo	none
remugio	intransitive
remuneror/-o	none
renarro	none
renascor	deponent
renauigo	none
renideo	none
renouo	none
renuntio	none
renuo	none
reor/-eo	none
reparo	none
repello	none
rependo	none
repenso	none
reperio	none
repeto	none
repleo	none
replico	none
repo	intransitive
repono	none
reporto	none
reposco	none
repraesento	none
reprehendo	none
reprimo	none
repto	none
repudio	none
repugno	intransitive
repullulo	intransitive
repurgo	none
reputo	none
requiesco	none
requiro	none
resaluto	none
rescindo	none
rescio	none
rescisco	none
rescribo	none
reseco	none
resero	none
reseruo	none
resideo	none
resido	intransitive
resigno	none
resilio	intransitive
resipisco	intransitive
resisto	intransitive
resoluo	none
resono	none
resorbeo	none
respecto	none
respergo	none
respicio	none
respiro	none
resplendeo	intransitive
respondeo	intransitive
respuo	none
restagno	intransitive
restauro	none
restinguo	none
restituo	none
resto	none
restringo	none
resudo	none
resulto	intransitive
resumo	none
resupino	none
resurgo	intransitive
retardo	none
retego	none
retendo	none
retento	none
retero	none
retexo	none
reticeo	none
reticesco	none
retineo	none
retono	intransitive
retorqueo	none
retracto	none
retraho	none
retro-cedo	none
retroduco	none
retro-flecto	none
retro-uerto	none
retundo	none
reualesco	intransitive
reueho	none
reuello	none
reuelo	none
reuenio	intransitive
reuerbero	none
reuereor	deponent
reuertor/-o	none
reuilesco	intransitive
reuincio	none
reuinco	none
reuiresco	intransitive
reuiso	none
reuiuo	intransitive
reuoco	none
reuolo	intransitive
reuoluo	none
reuomo	none
rideo/-eor	none
rigeo	intransitive
rigesco	intransitive
rigido	none
rigo	none
rimor/-o	none
rixor/-o	none
roboro	none
rodo	none
rogito	none
rogo	none
roro	none
roto	none
rotundo	none
rubeo	intransitive
rubesco	intransitive
ructo/-or	none
rudo	intransitive
rumino/-or	none
rumpo	none
runco	none
ruo	none
sacco	none
sacrifico/-or	none
sacro	none
saepio	none
saeuio	intransitive
sagino	none
salio	none
salto	none
salueo	intransitive
saluto	none
sancio	none
sanguino	intransitive
sano	none
sapio	none
sarcio	none
satio	none
satisfacio	intransitive
satisfit	fio
saturo	none
saucio	none
sauior/-o	none
scabo	none
scalpo	none
scando	none
scateo	intransitive
scelero	none
scindo	none
scintillo	intransitive
scio	none
sciscitor/-o	none
scisco	none
scitor	deponent
scribo	none
scrutor/-o	none
sculpo	none
secedo	intransitive
secerno	none
secludo	none
seco	none
sector/-o	none
secubo	intransitive
secundo	none
sedeo	none
sedo	none
seduco	none
segrego	none
seiungo	none
seligo	none
semino	none
semoueo	none
seneo	intransitive
senesco	intransitive
sentio	none
separo	none
sepelio	none
sepono	none
sequor/-o	none
sereno	none
sero1	none
sero2	none
serpo	intransitive
seruio	none
seruo	none
seuoco	none
sibilo	none
sicco	none
sido	intransitive
significo/-or	none
signo	none
sileo	none
silesco	intransitive
simulo	none
singultio	intransitive
sino	none
sinuo	none
sisto	none
sitio	none
socio/-or	none
soleo	intransitive
solido	none
sollicito	none
solo	none
solor	deponent
soluo	none
somnio/-or	none
sono	none
sopio	none
soporo	none
sorbeo	none
sordeo	intransitive
sortior/-io	none
sospito	none
spargo	none
spatior/-o	none
specto	none
speculor	deponent
sperno	none
spero	none
spiro	none
spisso	none
splendeo	intransitive
splendesco	intransitive
spolio/-or	none
spondeo	intransitive
spumo	none
spuo	none
spurco	none
squaleo	intransitive
stabilio	none
stabulo/-or	none
stagno	none
statuo	none
stello	none
sterno	none
sternuo	intransitive
sterto	intransitive
stillo	none
stimulo	none
stipo	none
stipulor/-o	none
sto	intransitive
stomachor	deponent
strangulo	none
strepito	intransitive
strepo	none
strideo	intransitive
strido	intransitive
strigo	intransitive
stringo	none
struo	none
studeo	none
stupefacio	none
stupefio	fio
stupeo	none
suadeo	none
subdeficio	intransitive
subdo	none
subduco	none
subeo	none
subiaceo	intransitive
subicio	none
subiecto	none
subigo	none
subiungo	none
sublabor	deponent
sublego	none
subleuo	none
subligo	none
subluceo	intransitive
subluo	none
submergo	none
subministro	none
submitto	none
submoueo	none
subnascor	deponent
subnecto	none
subnoto	none
suborior	deponent
suborno	none
subrepo	none
subrideo	intransitive
subripio	none
subrogo	none
subruo	none
subscribo	none
subseco	none
subsequor	deponent
subsido	none
subsilio	none
subsisto	none
substerno	none
substituo	none
substringo	none
subsum	sum
subterlabor	deponent
subtero	none
subtexo	none
subtraho	none
subuecto	none
subueho	none
subuenio	intransitive
subuerto	none
subuoluo	none
suburgeo	none
succedo	none
succendo	none
succi\do"	none
succi'do	intransitive
succingo	none
succresco	intransitive
succumbo	intransitive
succurro	intransitive
succutio	none
sudo	none
suesco	none
suffero	none
sufficio	none
suffigo	none
suffio	none
sufflo	none
suffoco	none
suffodio	none
suffragor/-o	none
suffulcio	none
suffundo	none
suggero	none
suggredior	deponent
sugillo	none
sulco	none
sum	sum
sumo	none
suo	none
superbio	intransitive
supercurro	none
superegredior	deponent
superemineo	none
superfluo	none
superfundo	none
supergredior	deponent
superiacio	none
superimpono	none
superincumbo	intransitive
superinicio	none
superlabor	deponent
supero	none
superpono	none
supersedeo	none
superstagno	intransitive
supersto	none
superstruo	none
supersum	sum
supertego	none
supertendo	none
superuado	none
superueho	none
superuenio	none
superuolo	none
superurgeo	intransitive
supino	none
suppedito	none
suppeto	none
supplanto	none
suppleo	none
supplico	none
supplodo	none
suppono	none
supporto	none
supprimo	none
suppuro	intransitive
supputo	none
surgo	intransitive
suscenseo	none
suscipio	none
suscito	none
suspecto/-or	none
suspendo	none
suspicio	none
suspicor/-o	none
suspiro	none
sustento	none
sustineo	none
sustollo	none
susurro	intransitive
tabeo	intransitive
tabesco	intransitive
taceo	none
taedet	impersonal
talio	none
tango	none
tardo	none
taxo	none
tego	none
temero	none
temno	none
tempero/-or	none
tendo	none
teneo	none
tento	none
tenuo	none
tepefacio	none
tepefacto	none
tepeo	intransitive
tepesco	intransitive
terebro	none
tergeo	none
tergiuersor	deponent
termino	none
tero	none
terreo	none
terrifico	none
territo	none
testificor/-o	none
testor/-o	none
texo	none
timeo	none
tingo	none
tinnio	intransitive
tintinno	intransitive
titillo	none
titubo	intransitive
tolero/-or	none
tollo	none
tondeo	none
tono	none
torpeo	intransitive
torpesco	intransitive
torqueo	none
torreo	none
tracto	none
trado	none
traduco	none
traho	none
traicio	none
transcendo	none
transcribo	none
transcurro	none
transeo	none
transero	none
transfero	none
transfigo	none
transfiguro	none
transfodio	none
transformo	none
transforo	none
transfugio	none
transfundo	none
transgredior	deponent
transigo	none
transilio	none
transmeo	none
transmitto	none
transmoueo	none
transmuto	none
transno	none
transpono	none
transporto	none
transueho	none
transuerbero	none
transuerto	none
transuo	none
transuolo	none
tremefacio	none
tremesco	none
tremo	none
trepido	none
tribuo	none
tripertio	none
tripudio	intransitive
triumpho	none
trucido	none
trudo	none
trunco	none
truso	intransitive
trutino/-or	none
tueor/-eo	none
tumefacio	none
tumeo	intransitive
tumesco	intransitive
tumulo	none
tumultuor/-o	none
tundo	none
turbo	none
turgeo	intransitive
turgesco	intransitive
turpo	none
tutor/-o	none
uacillo	intransitive
uaco	intransitive
uacuefacio	none
uado	intransitive
uagio	intransitive
uagor/-o	none
ualedico	none
ualeo	intransitive
ualesco	intransitive
uallo	none
uanesco	intransitive
uaporo	none
uapulo	intransitive
uario	none
uasto	none
uaticinor/-o	none
uecto	none
uegeto	none
ueho	none
uelifico/-or	none
uellico	none
uello	none
uelo	none
uendito	none
uendo	none
ueneo	none
ueneror/-o	none
uenio	intransitive
uenor	deponent
uentilo	none
uentito	intransitive
uenum-do	none
uerbero	none
uereor	deponent
uergo/-or	none
uermino/-or	none
uerno/-or	none
uerro	none
uerso	none
uerto	none
uesanio	intransitive
uescor/-o	none
uesperasco	intransitive
uestigo	none
uestio	none
ueto	none
uexo	none
uibro	none
uideo	none
uiduo	none
uigeo	intransitive
uigesco	intransitive
uigilo	none
uincio	none
uinco	none
uindico	none
uiolo	none
uireo	intransitive
ui'resco	intransitive
uisco	none
uisito	none
uiso	none
uitio	none
uito	none
uitupero	none
uiuo	intransitive
ulciscor/-o	none
ululo	none
umbro	none
umecto	none
umesco	intransitive
undo	intransitive
ungo	none
unguento	none
uociferor/-o	none
uocito	none
uoco	none
uolito	none
uolo1	uolo
uolo2	none
uoluo	none
uoluto	none
uomito	intransitive
uomo	none
uoro	none
uoueo	none
urgeo	none
uro	none
ustulo	none
usurpo	none
utor/-o	none
uulgo	none
uulnero	none
